name,rent,area,x,y,rent/area
保民新村,3750 ,33.2 ,121.503115,31.26297893,113
恒昌花园,17600 ,172.5 ,121.4445121,31.19124246,102
金上海家园,14135 ,132.1 ,121.5164994,31.26847436,107
漕泾一村,5330 ,44.0 ,121.4218558,31.16823747,121
梅岭新村,4400 ,34.1 ,121.389207,31.24479772,129
瞿西新村,5683 ,36.2 ,121.4657588,31.19948761,157
天山三村,4600 ,42.2 ,121.4021738,31.21566722,109
金燕家苑,10450 ,112.4 ,121.5897761,31.25675587,93
潍坊三村,4274 ,33.9 ,121.5155594,31.22386288,126
西郊枫林苑,29040 ,287.5 ,121.3096751,31.16963302,101
同方锦城,4576 ,22.0 ,121.5818474,31.26652324,208
棕榈滩海景城,1997 ,86.8 ,121.5313832,30.82352238,23
园南一村,5050 ,64.7 ,121.4351497,31.14352603,78
平阳三村,5335 ,62.8 ,121.3796881,31.13452224,85
上钢七村,4583 ,38.2 ,121.4825114,31.17515195,120
仁恒河滨城,26711 ,165.9 ,121.5630241,31.22988453,161
大桥公寓,2585 ,80.8 ,121.4391155,30.99664681,32
临江三村,3443 ,62.6 ,121.4836336,31.41280069,55
民庆家园,7480 ,83.1 ,121.5151306,31.32277339,90
东方城市公寓,9500 ,137.7 ,121.5241415,31.03110572,69
绿洲城市花园,11450 ,81.2 ,121.4291948,31.24224884,141
番南小区,5586 ,38.8 ,121.4207256,31.19402671,144
上港小区,5176 ,27.5 ,121.509627,31.23992994,188
汇秀景苑,2585 ,68.0 ,121.538468,31.04215425,38
华山花苑,8724 ,54.5 ,121.4308456,31.20558238,160
宝钢二村,2867 ,44.1 ,121.4795791,31.40595895,65
东方晶华园,3667 ,79.7 ,121.5734339,31.11585826,46
园艺新村,4934 ,59.4 ,121.3531911,31.14812929,83
名门河滨花园,6893 ,104.4 ,121.5480204,31.24638647,66
太浜巷小区,3250 ,35.3 ,121.4222052,31.25167254,92
世纪之门,6860 ,73.0 ,121.4344442,31.24946358,94
古宋小区,6655 ,64.0 ,121.3846359,31.21300614,104
龙潭小区,4711 ,43.6 ,121.4221898,31.27636575,108
中大新苑,8617 ,118.0 ,121.5866297,31.27190847,73
上钢二村,4551 ,44.6 ,121.4896098,31.17731797,102
紫苑小区,1577 ,78.9 ,121.6125019,30.90504117,20
新城名庭,6760 ,114.6 ,121.5485177,31.23860746,59
广盛苑,4050 ,58.7 ,121.4264805,31.27885612,69
嘉德公寓,9000 ,121.6 ,121.5155692,31.21775686,74
原水小区,7150 ,72.2 ,121.4261134,31.21846969,99
百乐公寓,8000 ,80.0 ,121.4549549,31.20124519,100
凯阳公寓,7700 ,89.5 ,121.5261743,31.27029809,86
仁德坊,10267 ,92.5 ,121.475686,31.20764881,111
静安凤凰苑,16500 ,139.8 ,121.4369447,31.23542757,118
万里欣苑,6738 ,74.9 ,121.4137616,31.26290003,90
青松小区,8250 ,69.3 ,121.4453986,31.19977243,119
罗山怡景苑,11550 ,117.9 ,121.5598233,31.23744497,98
合虹公寓,13200 ,105.6 ,121.4773799,31.2837809,125
海潮新村,5786 ,29.7 ,121.4925628,31.21163769,195
樱花苑,5280 ,59.3 ,121.3497564,31.28455314,89
西南小区,4818 ,35.2 ,121.4833516,31.28055747,137
益健小区,6325 ,43.0 ,121.4029615,31.22125521,147
宝山六村,3800 ,67.9 ,121.497571,31.3999358,56
华丽家族花园,19012 ,163.9 ,121.3993544,31.19591384,116
鹤沙航城东茗苑,2919 ,67.9 ,121.5958916,31.07706943,43
静安晶华园,11250 ,111.4 ,121.439968,31.2416507,101
永新花苑,19456 ,142.0 ,121.4384348,31.19528923,137
弘辉名苑,12892 ,103.1 ,121.4851941,31.20534176,125
中华小区,5696 ,37.0 ,121.4125438,31.20071834,154
中星馨恒苑,4202 ,26.6 ,121.4195488,31.29751462,158
海上名邸,26950 ,163.3 ,121.4187125,31.15661807,165
华苑小区,9350 ,46.1 ,121.4658107,31.30120472,203
永乐苑,6750 ,87.7 ,121.4416902,31.26806879,77
华丽家园,7106 ,100.1 ,121.3886703,31.10458413,71
