name,x,y,area,rent,rent/m2
 美丽星城,121.3230052,31.13529199,11.9,1990,167.2268908
 崮山小区一街坊,121.557816,31.23841013,8.1,1930,238.2716049
 凌霄苑,121.5209859,31.14004142,11,1990,180.9090909
 澜茵华庭,121.31165,31.24074971,11.5,2290,199.1304348
 江虹花园,121.2228833,31.02470286,13,2060,158.4615385
 曹杨五月天,121.403689,31.26236824,19.2,2660,138.5416667
 绿地新江桥城,121.3069842,31.2383546,10,2090,209
 永泰花苑,121.5132839,31.13996715,11.5,2260,196.5217391
 上大阳光乾恩园,121.4000278,31.31074528,14.5,2090,144.137931
 万科城市花园,121.3388851,31.16029332,16.5,2560,155.1515152
 北九峰小区,121.2237844,31.02090222,14.1,1490,105.6737589
 紫荆二村,121.1609756,31.29215506,12,1490,124.1666667
 万科城市花园,121.3388851,31.16029332,16.3,2530,155.2147239
 建设花园,121.2326768,31.03273218,34.5,1730,50.14492754
 好世凤凰城,121.3867696,31.09508406,14.4,1990,138.1944444
 诸新三村,121.285855,31.21078798,15.2,1830,120.3947368
 金榜雅苑,121.4076216,31.02462033,9.83,1690,171.9226857
 方舟园三村,121.2329158,31.02038903,13.5,1690,125.1851852
 新月福邸,121.427459,31.40575144,15.8,1730,109.4936709
 华高新苑,121.6047071,31.2855322,13.2,2190,165.9090909
 奥林匹克花园,121.3224765,31.14966699,16,2130,133.125
 上大阳光乾泽园,121.3974885,31.31134093,13.3,2390,179.6992481
 新时代花园,121.3817364,31.1419112,12.94,2390,184.698609
 润江花苑,121.2549364,31.11023937,15.5,1960,126.4516129
 金唐公寓,121.6541855,31.20356588,13.8,1860,134.7826087
 上海派,121.1929867,31.29514227,9.4,1190,126.5957447
 上海派,121.1929867,31.29514227,9.4,1160,123.4042553
 大发融悦,121.0813117,31.13687627,11.8,1590,134.7457627
 东陆新村二街坊,121.5946843,31.27462489,13.6,2230,163.9705882
 恒大华城新华苑,121.4810375,31.16433559,12.87,2090,162.3931624
 联鑫坊,121.4552961,30.92012857,16,2590,161.875
 美岸栖庭(公寓),121.4882031,31.32977125,14.5,2260,155.862069
 大发融悦,121.0813117,31.13687627,8.8,1160,131.8181818
 岭南苑(凌兆路99弄),121.4880454,31.14446749,11.1,2090,188.2882883
 航华二村二街坊,121.3461513,31.17215816,13.2,2230,168.9393939
 九城湖滨国际,121.3140248,31.15101929,16.8,2030,120.8333333
 芳芯路251弄,121.552379,31.19469514,11.5,2290,199.1304348
 新凯城丹桂苑,121.2280426,31.11202113,9,1530,170
 润江花苑,121.2549364,31.11023937,12,2090,174.1666667
 大发融悦,121.0813117,31.13687627,10.3,1490,144.6601942
 李园二村,121.2474345,31.39340744,13,1190,91.53846154
 嘉丰佳苑,121.2306247,31.3735464,15.2,1490,98.02631579
 品珍苑,121.5189679,31.14293052,13.7,2060,150.3649635
 绿地新江桥城,121.3069842,31.2383546,10,1860,186
 莲溪二村,121.555269,31.1872181,12.3,1990,161.7886179
 万科城市花园,121.3388851,31.16029332,10,1830,183
 环龙公寓,121.5541359,31.19186187,13.26,1890,142.5339367
 芳华路713弄,121.559509,31.19930599,12.74,2190,171.899529
 滨浦新苑八村,121.4908048,31.0656315,15.3,1860,121.5686275
